word,countAll
INTERFERENCE,168
BUD,168
BARLEY,168
BRASSICACEAE,168
SOLANUM,168
CITRUS,168
ISOFORM,167
PROGRAM,167
PRE,166
INTRON,166
IDENTITY,166
NEMATODE,166
NATURE,165
FATE,165
ANNOTATION,164
DEHYDROGENASE,163
MATURE,163
DECREASE,163
FT,163
ATPASE,163
ENHANCE,163
ACTIN,162
REFERENCE,162
CONTRIBUTE,162
CLEAVAGE,162
COAT,161
THROUGHPUT,161
CINEREA,161
PROTOPLAST,161
FLUORESCENT,160
STRIGOLACTONE,160
FERTILIZATION,160
POPULUS,160
PERIOD,159
ACETYLATION,159
SENSOR,159
H3,159
CASCADE,159
TRANSLOCATION,159
PROTEOME,158
FITNESS,158
FUNGI,158
HERBICIDE,158
CONFER,158
THUS,157
ACQUISITION,157
CULTIVAR,157
VACUOLE,157
CONTRIBUTION,156
BRANCH,156
PSII,155
INTEGRATION,155
CLADE,155
TEA,155
METHYLTRANSFERASE,154
INTEREST,154
OXIDATION,153
SECRETION,153
FLC,153
ZONE,152
INSERTION,152
CLIMATE,151
STOMATA,151
LRR,151
PH,151
MODE,150
RATIO,150
LACK,150
ACTIVATOR,150
DELETION,149
DISCOVERY,149
GRADIENT,149
DIVERGENCE,149
DISTANCE,149
METABOLIC,149
FIBER,149
LIGAND,148
ALTERATION,148
COMMUNITY,148
DATABASE,148
SERIES,148
ADVANCE,148
DARK,147
CUCUMBER,147
[,147
QUANTIFICATION,147
BACKGROUND,147
TRIGGER,147
RECENT,146
SHIFT,146
RNAI,146
MELATONIN,145
DECADE,145
IMMUNOPRECIPITATION,144
ASSOCIATED,144
LINK,144
WAX,144
OVERALL,143
INTERESTINGLY,143
ECTOPIC,143
STERILITY,143
PATTERNING,143
TRX,143
LR,142
STIMULI,142
UBIQUITIN,141
DEMETHYLATION,141
DELLA,141
EDITING,141
INDUCED,141
SAM,141
AREA,141
INDUCE,140
RING,140
CASE,139
LIMITATION,139
METHYL,139
CA2+,139
CAROTENOID,139
IMAGE,139
PHOTOPERIOD,139
VIRULENCE,139
TAG,139
RHYTHM,139
CONSERVATION,138
TRANSCRIPTIONAL,138
CADMIUM,138
H3K27ME3,138
SWITCH,137
PROTECTION,136
CK,136
MAPK,135
MEMORY,135
HEALTH,134
COMMUNICATION,134
TCP,134
EIN3,134
SNRK2,134
FLUX,134
SPECIFIC,133
MASTER,132
OBSERVATION,132
CORRELATION,132
HUB,132
EGG,132
CABBAGE,132
MATERIAL,132
INSENSITIVE,131
INTENSITY,131
CROSSOVER,131
HSF,131
BRI1,130
],130
PEROXIDASE,130
PROLINE,130
MICROBIOME,130
EXCHANGE,130
PIF,129
PHYLOGENETIC,129
ENRICHMENT,129
SNP,129
LOCATION,129
GOSSYPIUM,128
SCREEN,128
FUSARIUM,128
RLK,128
ENDOCYTOSIS,127
AGRICULTURE,127
OE,127
FRAMEWORK,127
NUTRITION,127
MONOCOT,127
TRANS,126
SNRK1,126
LNCRNA,126
DC3000,126
SELF,126
ASSIMILATION,126
PSI,126
PLAY,125
EPIGENETIC,125
MUCILAGE,125
NUCLEOTIDE,125
SPACE,125
PLANTA,124
PROBLEM,124
TECHNOLOGY,124
RDDM,124
ORIGIN,124
NF,124
MN,124
NAPUS,123
PROMOTION,123
ZIP,123
HD,123
BARRIER,123
AMMONIUM,123
PTI,123
MESOPHYLL,123
GRAPE,123
SEPARATION,122
PHOSPHORUS,122
CAS9,122
MULTI,122
BOTRYTIS,122
NPR1,122
COLONIZATION,121
CHIP,121
U,121
PLAYER,121
GRANULE,120
BODY,120
EDS1,120
LEARNING,120
TRANSIENT,120
BES1,120
ALTERNATIVE,120
PP2C,120
SORGHUM,120
VERTICILLIUM,119
MEDICAGO,119
ANTHER,119
ABSCISSION,119
UVR8,119
THERMOTOLERANCE,118
RESPONSIVE,118
HOMOLOGY,118
Α,118
VECTOR,118
FER,118
MODULATE,118
MEASUREMENT,118
WEIGHT,117
SULFUR,117
SUPPORT,117
BRANCHING,117
DEHYDRATION,117
AFFECT,117
INOCULATION,116
FUNGUS,116
FRAGMENT,116
BOUND,116
NADPH,116
SIRNA,116
CELLULOSE,115
PHYB,115
PROGRESS,115
GRAVITROPISM,115
ARTICLE,114
X,114
CYTOPLASM,114
PARAMETER,114
CYTOSKELETON,114
HUMAN,114
INTERPLAY,113
NEED,113
WOODY,113
MUTAGENESIS,113
THERMOMORPHOGENESIS,113
GLYCINE,113
CRYPTOCHROME,113
PHYSIOLOGY,112
BAK1,112
NUCLEAR,112
DEGREE,112
PLATFORM,112
HOOK,112
GTPASE,112
EMERGENCE,112
MG,112
RIBOSOME,112
TIMING,111
GAMETOPHYTE,111
ROSETTE,111
H2A,111
LANDSCAPE,111
PARTNER,111
POTASSIUM,111
TRANSMEMBRANE,111
ET,111
SWEET,111
KINGDOM,111
COMPARTMENT,111
STRAND,110
MACHINE,110
DETERMINATION,110
BZR1,110
EPIDERMIS,110
POPLAR,110
LD,110
I,109
Z,109
CARBOHYDRATE,109
SUPPLY,109
BASAL,109
CIRCADIAN,109
RADIATION,109
STOP1,109
TURNOVER,109
GU,109
DISRUPTION,108
CLE,108
SCREENING,108
WHEREAS,108
OPENING,108
BP,108
ALUMINUM,108
TRANSFERASE,108
INHIBIT,108
SPECTRUM,107
WORLD,107
CONSEQUENCE,107
COPPER,107
BAMBOO,107
CUTICLE,107
BOTH,106
MILDEW,106
SUCROSE,106
COLOR,106
MICROORGANISM,106
DETAIL,106
POLYMORPHISM,106
SIGNATURE,106
PROGRESSION,105
ZEA,105
CYTOSOL,105
FOUNDATION,105
RECOVERY,105
Y,105
SUBSTITUTION,105
SUBGROUP,105
IV,105
DEG,105
MOSAIC,104
PRESSURE,104
EXTENT,104
TURN,104
ANTIOXIDANT,104
ANGLE,104
ELICITOR,104
CONVERSION,104
TRANSMISSION,104
COST,103
PLASMODESMATA,103
EXHIBIT,103
STOMATAL,103
PURIFICATION,103
DSB,103
METABOLOMIC,103
KAI2,103
MEDIATE,103
SMALL,102
ADVANTAGE,102
DETOXIFICATION,102
VARIETIES,102
ACYL,102
DIVERSE,102
PPR,102
RELEASE,102
SIGNIFICANCE,101
DETERMINANT,101
SIDE,101
ANION,101
BLUE,101
EXTRACTION,101
SUBFAMILIES,100
SINGLE,100
ARRAY,100
SUMOYLATION,100
APERTURE,100
REPROGRAMMING,100
SAR,100
POL,100
THIOREDOXIN,100
CBF,99
LYCOPERSICUM,99
REMAIN,99
BODIES,98
MEDIUM,98
MT,98
COORDINATION,98
TRITICUM,98
SYNTHETASE,98
CHROMATOGRAPHY,98
WOOD,98
COPY,98
PST,98
SE,97
P450,97
RETROGRADE,97
SIMULATION,97
SHADE,97
HYPOTHESIS,97
PROTON,97
GRAS,97
JAZ,97
COMPLEXITY,97
MICROBIOTA,96
FLOW,96
GT,96
SHOW,96
TRANSGENE,96
GC,96
MULTIPLE,95
NICHE,95
LONGEVITY,95
PETAL,95
CRY1,95
THYLAKOID,95
PROTEASOME,95
PIPELINE,95
INSECT,95
CAP,94
SILIQUE,94
SALICYLIC,94
RAPESEED,94
POLYSACCHARIDE,94
POOL,94
PREPARATION,94
STAMEN,94
PRR,94
READ,94
INNATE,93
CONCLUSION,93
CARRIER,93
TANDEM,93
PEPPER,93
AGROBACTERIUM,93
FORCE,93
TRNA,93
PATHOGENESIS,92
MITOGEN,92
HOMOLOGUE,92
PEACH,92
TOWARD,92
REQUIREMENT,91
PHOSPHOLIPASE,91
PD,91
AP2/ERF,91
GATA,91
REACTIVE,91
MARCHANTIA,91
VERNALIZATION,91
RG,91
POLYCOMB,91
ARF,91
SP,90
FLG22,90
SENSING,90
AVOIDANCE,90
TRUNCATULA,90
WUSCHEL,90
UPR,90
CAUSE,90
UPSTREAM,90
MYC2,90
BLOCK,90
ENHANCER,90
TRIACYLGLYCEROL,90
SIMILARITY,89
LIVING,89
PAPER,89
HSP90,89
PAMP,89
RT,89
PERSPECTIVE,89
VOLATILE,89
LONG,89
EFFLUX,89
LYSINE,88
LOW,88
TRANSPOSON,88
LEGUME,88
HR,88
GAIN,88
MEDIATOR,88
UPREGULATION,87
PEROXIDE,87
SUBSET,87
SHARE,87
INTERMEDIATE,87
FOCUS,87
DEPLETION,87
SINENSIS,87
HENCE,87
BEHAVIOR,87
CAMALEXIN,87
BORON,87
COMMUNITIES,87
SOLUTION,86
PRIMORDIA,86
RECRUITMENT,86
GLUCOSE,86
FREQUENCY,86
MALATE,86
CEREAL,86
AGE,86
DELIVERY,86
RRNA,86
FRACTION,86
PREVIOUS,85
TERMINUS,85
PROCEDURE,85
RESPIRATORY,85
TRADE,85
GLYCOSYLATION,85
GLUTAMATE,85
TECHNOLOGIES,85
AGENT,85
PRC2,85
EXTRACT,85
NB,84
PIGMENT,84
PHR1,84
COLI,84
INACTIVATION,84
COLLECTION,84
LIGNIFICATION,84
E2,84
NAD,84
CENTER,84
PERTURBATION,84
QUANTITATIVE,84
DARKNESS,83
PROBE,83
OUTER,83
GRAPEVINE,83
INOSITOL,83
POLYMORPHA,83
GSH,83
DIVERSIFICATION,83
MOBILITY,83
ETI,83
LUCIFERASE,83
APHID,83
DIFFUSION,83
+,82
DAHLIAE,82
HEREIN,82
MITOCHONDRIAL,82
CATABOLISM,82
VASCULAR,82
NEW,82
INDIVIDUAL,82
MAMMAL,82
COMPARATIVE,81
DOWNREGULATION,81
FA,81
ESTER,81
TAPETUM,81
DESIGN,81
GENUS,81
HERBIVORE,81
ORIENTATION,81
TOLERANT,81
SCW,81
PHYTOPHTHORA,80
ORGANOGENESIS,80
AND/OR,80
TAIL,80
GAP,80
PARALOG,80
BZIP,80
PHOSPHOLIPID,80
POLYAMINE,79
RHIZOSPHERE,79
ACCURACY,79
MODELING,79
EXPORT,79
ATTENTION,79
HYDROLASE,79
PV,79
OMICS,79
ACYLTRANSFERASE,79
GLYCOSYLTRANSFERASE,79
FOLD,78
LATERAL,78
MOSS,78
PHENOMENON,78
PORE,78
HOW,78
MANIPULATION,78
DIRECTION,78
LIQUID,78
CG,78
BIN2,78
BASIC,78
NHP,78
OXIDE,77
HIRSUTUM,77
MAJORITY,77
HISTORY,77
DICOT,77
MARK,77
NACL,77
CRY2,77
CALMODULIN,77
CLATHRIN,76
SPLICE,76
GROUND,76
MATRIX,76
REGULATORY,76
VALIDATION,76
EXOCYST,76
VITIS,76
CAMBIUM,76
VIEW,76
SNARE,76
CAMELINA,76
WOUND,76
NUCLEI,76
DEACETYLASE,76
H+,76
PR,76
AQUAPORIN,76
ELF3,76
TIR,76
SPL,75
BURST,75
DISPLAY,75
EVALUATION,75
AIM,75
ALGORITHM,75
CLASSIFICATION,75
OUTPUT,75
PCD,75
ISSUE,75
PHT1,75
MAMP,75
×,75
LHCII,75
ROP,75
PC,75
LT,75
WINTER,74
SCIENCE,74
FINALLY,74
ALGAE,74
MPK6,74
VIABILITY,74
FATTY,74
DRUG,74
CLONING,74
DIPLOID,74
SPECIFICATION,74
KEY,74
VEIN,74
MAX,74
GAMETE,74
CIRCRNA,74
HSP70,73
EC,73
PREFERENCE,73
SUBMERGENCE,73
K+,73
CALLUS,73
LYASE,73
ATTACK,73
ERECTA,73
FLUCTUATION,73
CONSTRUCT,73
TEST,73
BREAK,73
PIN2,73
RAY,73
ECOTYPE,73
RETENTION,72
AP,72
ENDOMEMBRANE,72
AXIS,72
REMODELING,72
ACC,72
AGO1,72
HYBRIDIZATION,72
NRT1,72
GRAVITY,72
ACCESSIBILITY,72
PAVEMENT,72
MAY,72
CESA,72
ABI4,72
ERF,71
CYTOCHROME,71
VARIABILITY,71
PEROXISOME,71
POWDERY,71
ΜM,71
MPK3,71
ADDITIONALLY,71
CONSISTENT,71
CO2,71
ROUTE,71
CHLAMYDOMONAS,71
IMPORT,71
HTTP,71
SPHINGOLIPID,71
BACTERIUM,70
BL,70
ETIOLATION,70
XYLAN,70
DEMAND,70
CONNECTION,70
ACETYLTRANSFERASE,70
PTM,70
MB,70
SEGREGATION,70
PRIMING,70
THOUSAND,70
CHL,70
ACYLATION,70
EFFORT,70
SHORT,69
MALUS,69
HAND,69
ROS1,69
H3K4ME3,69
RELEVANCE,69
DERIVATIVE,69
RBOHD,69
BIOSENSOR,69
BIOCHEMICAL,69
GSL,69
SEARCH,69
ABC,69
ALIGNMENT,69
BRACHYPODIUM,69
KARRIKIN,69
COURSE,68
BANANA,68
STRUCTURAL,68
CONSTANS,68
BACILLUS,68
LINKAGE,68
RESPIRATION,68
SYMBIOSIS,68
REMOVAL,68
GERMLINE,68
SYMPTOM,68
NIGHT,68
DIOXYGENASE,68
KINETIC,68
SERINE,67
RESISTANT,67
INTERACTOR,67
PARTICIPATE,67
H2O2,67
CAMELLIA,67
BOND,67
QPCR,67
REDUNDANCY,67
SNC1,67
EARLY,67
POLYMER,67
HOMEOBOX,67
IRRADIATION,67
SIZ1,67
VESSEL,67
FLAGELLIN,66
CONSTRAINT,66
WHOLE,66
SRNA,66
STRENGTH,66
ALLOCATION,66
FERONIA,66
SUCCESS,66
DROPLET,66
START,66
SACCHAROMYCES,66
RH,66
PB,66
VLCFA,66
UDP,66
IMPLICATION,66
RHIZOBACTERIA,65
RESILIENCE,65
UTILIZATION,65
ZIPPER,65
RIPENING,65
LC,65
MEDIATED,65
LEAFY,65
DEMETHYLASE,65
TRIPLE,65
HYPERSENSITIVITY,65
PEAK,65
NODULE,65
MESSENGER,64
ADAPTOR,64
NA,64
POLY,64
HAPLOID,64
RELIES,64
POLLINATION,64
CONDUCTANCE,64
ESCHERICHIA,64
HEIGHT,64
APPARATUS,64
MYOSIN,64
PIN1,64
VASCULATURE,64
UNIT,64
CHITIN,64
SUGARCANE,64
RELATIVE,64
HYDROXYLASE,64
LEAD,64
STEROL,64
RIN4,64
RELATION,63
JUVENILE,63
PHENYLPROPANOID,63
HETEROCHROMATIN,63
KNOCKDOWN,63
AOX,63
VINIFERA,63
JAPONICA,63
EFFICIENT,63
PEST,63
LESION,63
OVERVIEW,63
MILLET,63
COFACTOR,63
RECONSTRUCTION,63
CHAPTER,63
DEFICIT,62
MIR156,62
JASMONIC,62
IRT1,62
HYPOXIA,62
FILAMENT,62
VEGETATIVE,62
Γ,62
MANY,62
AA,62
BEAN,62
HUNDREDS,62
ALTER,62
PARTICLE,61
FLS2,61
QRT,61
ASSESSMENT,61
EXISTENCE,61
CONTAINING,61
BACTERIAL,61
AM,61
DIFFERENTIAL,61
CEREVISIAE,61
ASCORBATE,61
RESPOND,61
CASSAVA,61
PLATE,61
BENEFIT,61
CONSTITUTIVE,60
PARENT,60
FUNCTIONALITY,60
PROPORTION,60
RESEARCHERS,60
DELAY,60
MS/MS,60
CONTACT,60
ORTHOLOGUE,60
PHYLOGENY,60
SPERM,60
PLETHORA,60
MONITORING,60
PGR5,60
LIMIT,60
ALCOHOL,60
PG,60
HG,60
ENHANCEMENT,59
SUBERIN,59
ARM,59
PP,59
INDOLE,59
POLYADENYLATION,59
ONSET,59
RAM,59
ABSORPTION,58
MM,58
THREAT,58
NM,58
ARREST,58
INTERFACE,58
VITAMIN,58
LIVERWORT,58
POSSIBILITY,58
CAPTURE,58
CONFORMATION,58
ATG8,58
VISUALIZATION,58
INPUT,58
PHYSCOMITRIUM,57
REDUCES,57
STRAWBERRY,57
GST,57
WD40,57
CASSETTE,57
SHIKIMATE,57
FUTURE,57
AUX/IAA,57
HETEROLOGOUS,57
MOSO,57
NANOPARTICLE,57
COI1,57
CCA1,57
EXTENSION,57
POLYPLOIDY,57
MAGNESIUM,57
ILE,57
WILT,56
BIND,56
COMPREHENSIVE,56
THEIR,56
CDNA,56
RAPA,56
FIXATION,56
BBX,56
WEED,56
RISE,56
J,56
PROPAGATION,56
TUNE,56
POLYPLOID,56
RAPID,56
TRYPTOPHAN,56
DESATURASE,56
RISK,56
D1,56
PROANTHOCYANIDIN,56
OSCILLATION,56
PHOTOTROPIN,56
COPI,56
INCOMPATIBILITY,56
MEAN,56
GABA,56
CY,56
MONOLIGNOL,55
DIFFERENT,55
OST1,55
LITERATURE,55
CBL,55
REVERSE,55
SORTING,55
STIMULATION,55
MANAGEMENT,55
PHOTOPROTECTION,55
SOC1,55
ADJUSTMENT,55
CYST,55
ISOTOPE,55
ENVELOPE,55
CIPK,55
CERAMIDE,55
PAP1,55
MAX2,55
VOC,55
COMPARED,54
AP2,54
SUBCELLULAR,54
ONTOLOGY,54
CONCEPT,54
TARGETING,54
THREE,54
META,54
AGP,54
RALF,54
CONSTRUCTION,54
INDEX,54
AGO,54
PIP,54
ANALOG,54
PHYA,54
COUNTERPART,54
W,54
APEX,53
STABILIZATION,53
TUMV,53
CODON,53
PRUNUS,53
REGULATING,53
DUE,53
SILICO,53
TABACUM,53
HEAD,53
B1,53
MYC,53
LIPASE,53
QC,53
SO,53
OXIDATIVE,52
ENDODERMIS,52
CATALASE,52
VIGS,52
RLP,52
IN,52
HL,52
FLORAL,52
HERBIVORY,52
PRESENT,52
DEMONSTRATE,52
DISSECTION,52
PEANUT,52
ATTACHMENT,52
PRO,52
EMISSION,52
CYCLIN,52
ARGONAUTE,52
PLANE,52
RECOMBINANT,52
GLUTAMINE,52
VC,52
FLAVONOL,52
CONSERVED,51
OTHERS,51
PRINCIPLE,51
EVOLUTIONARY,51
SVP,51
HABITAT,51
CARGO,51
ENHANCED,51
CANCER,51
SEX,51
FEEDING,51
PRIMARY,51
DOMESTICATION,51
OUTCOME,51
CAUSAL,51
CONJUGATION,51
SAP,51
FR,51
